ticker,period_end,revenue,net_income,eps,bvps,cfo,total_debt,roe,shares_out,announce_date,announce_date_est
1209 HK Equity,2024-12-31,9154.113,1708.288,0.7484,7.2287,2739.931,2308.612,22.1769,2282.5,2025-03-26,False
1209 HK Equity,2025-06-30,8523.537,2030.325,0.89,6.8086,1323.151,2267.707,23.1501,2282.5,2025-08-27,False
1209 HK Equity,2025-12-31,9498.081,1938.698,0.8494,6.7741,2801.591,2214.922,24.8363,2282.5,2026-03-30,False
1209 HK Equity,2026-06-30,9216.785,2239.324,0.981,6.9052,,2188.456,26.6952,2282.5,2026-08-31,False
1211 HK Equity,2016-06-30,43745.486,2259.696,0.29,4.1779,-2350.52,44262.1,15.6917,2745.0,2016-08-28,False
1211 HK Equity,2016-12-31,56462.217,2792.458,0.3343,5.7988,-1460.357,42266.961,12.6447,2745.0,2017-03-28,False
1211 HK Equity,2017-06-30,43817.02,1722.914,0.1967,5.966,-4512.981,54866.344,10.7666,2745.0,2017-08-28,False
1211 HK Equity,2017-12-31,58833.594,2343.564,0.2709,6.2446,8465.396,56511.016,7.7559,2745.0,2018-03-27,False
1211 HK Equity,2018-06-30,51914.052,479.099,0.0433,6.1493,-3045.305,68874.749,5.1989,2745.0,2018-08-29,False
1211 HK Equity,2018-12-31,69876.873,2301.095,0.2665,6.2683,12080.709,64692.802,4.9638,2745.0,2019-03-27,False
1211 HK Equity,2019-06-30,59214.976,1454.573,0.1633,6.3895,-3932.622,79160.579,6.8509,2745.0,2019-08-21,False
1211 HK Equity,2019-12-31,62563.141,159.877,0.0028,6.3985,15042.37,76746.065,2.6171,2745.0,2020-03-31,False
1211 HK Equity,2020-06-30,58028.041,1662.43,0.1867,6.7608,13445.708,68152.714,2.879,2745.0,2020-08-28,False
1211 HK Equity,2020-12-31,95441.143,2571.837,0.3043,6.8153,28515.212,52282.39,7.4299,2745.0,2021-03-29,False
1211 HK Equity,2021-06-30,90885.4,1173.571,0.1367,9.4665,8605.062,50235.189,5.2755,3144.0,2021-08-27,False
1211 HK Equity,2021-12-31,125256.995,1871.617,0.2167,10.8857,55127.183,42724.482,3.9557,3294.0,2022-03-29,False
1211 HK Equity,2022-06-30,150607.252,3595.279,0.4133,11.083,42493.302,34520.234,6.1473,3294.0,2022-08-29,False
1211 HK Equity,2022-12-31,273453.383,13027.169,1.4938,12.7373,97067.042,25157.215,16.1244,3294.0,2023-03-28,False
1211 HK Equity,2023-06-30,260124.143,10954.145,1.2567,13.728,81272.15,31277.338,22.1709,3294.0,2023-08-28,False
1211 HK Equity,2023-12-31,342191.211,19086.666,2.1839,15.8941,87995.489,50939.346,24.0162,3294.0,2024-03-26,False
1211 HK Equity,2024-06-30,301126.713,13631.257,1.56,16.36,14195.859,41029.869,24.8883,3294.0,2024-08-28,False
1211 HK Equity,2024-12-31,475975.742,26623.089,3.049,19.5189,119103.709,42843.596,26.0208,3294.0,2025-03-24,False
1211 HK Equity,2025-06-30,371280.948,15510.533,1.71,23.0831,31917.122,51660.052,23.7359,3683.4,2025-08-29,False
1211 HK Equity,2025-12-31,432684.01,17108.489,1.8663,24.9573,28400.462,146615.668,16.2489,3683.4,2026-03-27,False
1211 HK Equity,2026-06-30,344815.421,12325.408,1.35,26.3208,36332.255,184339.798,13.0145,3683.4,2026-08-28,False
1299 HK Equity,2016-05-31,12860.0,2065.0,0.17,2.9497,701.0,6164.0,7.8047,,2016-08-29,True
1299 HK Equity,2016-06-30,,,,,,,,12049.44824,2016-07-28,False
1299 HK Equity,2016-11-30,15336.0,2099.0,0.1753,2.9018,555.0,5444.0,12.5985,,2017-02-28,True
1299 HK Equity,2016-12-30,,,,,,,,12056.45117,2017-02-24,False
1299 HK Equity,2017-05-31,18405.0,2925.0,0.244,3.1733,331.0,6179.0,13.605,,2017-08-29,True
1299 HK Equity,2017-06-30,,,,,,,,12074.05,2017-07-28,False
1299 HK Equity,2017-11-30,19925.0,3195.0,0.266,3.4781,984.0,5841.0,15.9006,,2018-02-28,True
1299 HK Equity,2017-12-29,,,,,,,,12074.54146,2018-02-27,False
1299 HK Equity,2018-06-30,15562.0,1662.0,0.1383,3.1886,,7398.0,12.6451,12076.20868,2018-08-24,False
1299 HK Equity,2018-12-31,16807.0,935.0,0.0778,3.2298,,6637.0,6.4123,12077.06378,2019-03-15,False
1299 HK Equity,2019-06-30,24276.0,3864.0,0.321,4.1259,1138.0,8324.0,10.8594,12087.92312,2019-08-23,False
1299 HK Equity,2019-12-31,22966.0,2115.0,0.1756,4.5452,1992.0,7583.0,12.7276,12088.80121,2020-03-12,False
1299 HK Equity,2020-06-30,19664.0,2197.0,0.1822,4.698,3159.0,8370.0,8.0838,12090.59912,2020-08-20,False
1299 HK Equity,2020-12-31,30695.0,3582.0,0.2969,5.2253,-1027.0,10223.0,9.7827,12094.44833,2021-03-12,False
1299 HK Equity,2021-06-30,24194.0,3245.0,0.269,4.8726,2946.0,12629.0,11.7963,12096.63708,2021-08-17,False
1299 HK Equity,2021-12-31,23331.0,4182.0,0.3466,4.9985,660.0,11176.0,12.0113,12096.70339,2022-03-10,False
1299 HK Equity,2022-06-30,14234.0,1543.0,0.1283,3.415,4978.0,12524.0,11.4564,12006.38921,2022-08-24,False
1299 HK Equity,2022-12-31,9605.0,1788.0,0.1511,3.7919,4559.0,12954.0,6.3364,11780.57124,2023-03-10,False
1299 HK Equity,2023-06-30,16301.0,2250.0,0.1939,3.618,3599.0,13310.0,9.7547,11585.3881,2023-08-24,False
1299 HK Equity,2023-12-31,18465.0,1514.0,0.1324,3.6183,6926.0,15261.0,8.7756,11399.34446,2024-03-14,False
